scat_number,date,time,volume
4034,10/24/2006,07:45,233.0
4034,10/24/2006,08:00,248.5
4034,10/24/2006,08:15,239.25
4034,10/24/2006,08:30,214.5
4034,10/24/2006,08:45,210.25
4034,10/24/2006,09:00,196.25
4034,10/24/2006,09:15,195.75
4034,10/24/2006,09:30,174.25
4034,10/24/2006,09:45,170.5
4034,10/24/2006,10:00,157.5
4034,10/24/2006,10:15,160.0
4034,10/24/2006,10:30,165.75
4034,10/24/2006,10:45,163.25
4034,10/24/2006,11:00,144.5
4034,10/24/2006,11:15,157.5
4034,10/24/2006,11:30,154.75
4034,10/24/2006,11:45,160.0
4034,10/24/2006,12:00,158.25
4034,10/24/2006,12:15,172.25
4034,10/24/2006,12:30,164.5
4034,10/24/2006,12:45,151.0
4034,10/24/2006,13:00,162.75
4034,10/24/2006,13:15,155.25
4034,10/24/2006,13:30,167.25
4034,10/24/2006,13:45,150.25
4034,10/24/2006,14:00,147.75
4034,10/24/2006,14:15,152.75
4034,10/24/2006,14:30,160.25
4034,10/24/2006,14:45,164.0
4034,10/24/2006,15:00,167.75
4034,10/24/2006,15:15,183.25
4034,10/24/2006,15:30,167.75
4034,10/24/2006,15:45,189.25
4034,10/24/2006,16:00,180.0
4034,10/24/2006,16:15,192.75
4034,10/24/2006,16:30,200.75
4034,10/24/2006,16:45,205.25
4034,10/24/2006,17:00,198.5
4034,10/24/2006,17:15,224.75
4034,10/24/2006,17:30,225.5
4034,10/24/2006,17:45,220.5
4034,10/24/2006,18:00,192.5
4034,10/24/2006,18:15,208.25
4034,10/24/2006,18:30,181.5
4034,10/24/2006,18:45,188.5
4034,10/24/2006,19:00,162.0
4034,10/24/2006,19:15,152.25
4034,10/24/2006,19:30,134.25
4034,10/24/2006,19:45,118.5
4034,10/24/2006,20:00,116.25
4034,10/24/2006,20:15,109.25
4034,10/24/2006,20:30,107.5
4034,10/24/2006,20:45,97.25
4034,10/24/2006,21:00,101.25
4034,10/24/2006,21:15,96.25
4034,10/24/2006,21:30,92.0
4034,10/24/2006,21:45,95.75
4034,10/24/2006,22:00,88.0
4034,10/24/2006,22:15,77.75
4034,10/24/2006,22:30,66.0
4034,10/24/2006,22:45,60.25
4034,10/24/2006,23:00,57.25
4034,10/24/2006,23:15,42.5
4034,10/24/2006,23:30,38.25
4034,10/24/2006,23:45,32.75
4034,10/25/2006,00:00,26.25
4034,10/25/2006,00:15,26.75
4034,10/25/2006,00:30,16.75
4034,10/25/2006,00:45,16.75
4034,10/25/2006,01:00,12.25
4034,10/25/2006,01:15,11.5
4034,10/25/2006,01:30,11.25
4034,10/25/2006,01:45,7.25
4034,10/25/2006,02:00,7.5
4034,10/25/2006,02:15,7.0
4034,10/25/2006,02:30,6.5
4034,10/25/2006,02:45,5.75
4034,10/25/2006,03:00,6.5
4034,10/25/2006,03:15,3.5
4034,10/25/2006,03:30,5.75
4034,10/25/2006,03:45,7.5
4034,10/25/2006,04:00,6.5
4034,10/25/2006,04:15,6.25
4034,10/25/2006,04:30,8.5
4034,10/25/2006,04:45,14.0
4034,10/25/2006,05:00,15.25
4034,10/25/2006,05:15,23.0
4034,10/25/2006,05:30,34.5
4034,10/25/2006,05:45,45.0
4034,10/25/2006,06:00,57.75
4034,10/25/2006,06:15,87.0
4034,10/25/2006,06:30,123.25
4034,10/25/2006,06:45,148.0
4034,10/25/2006,07:00,163.5
4034,10/25/2006,07:15,201.75
4034,10/25/2006,07:30,227.0
4034,10/25/2006,07:45,230.25
4034,10/25/2006,08:00,221.25
4034,10/25/2006,08:15,222.0
4034,10/25/2006,08:30,208.0
4034,10/25/2006,08:45,226.25
4034,10/25/2006,09:00,202.75
4034,10/25/2006,09:15,189.75
4034,10/25/2006,09:30,188.0
4034,10/25/2006,09:45,159.0
4034,10/25/2006,10:00,175.0
4034,10/25/2006,10:15,167.75
4034,10/25/2006,10:30,164.5
4034,10/25/2006,10:45,167.0
4034,10/25/2006,11:00,155.75
4034,10/25/2006,11:15,164.25
4034,10/25/2006,11:30,155.5
4034,10/25/2006,11:45,160.5
4034,10/25/2006,12:00,174.75
4034,10/25/2006,12:15,169.5
4034,10/25/2006,12:30,169.0
4034,10/25/2006,12:45,154.5
4034,10/25/2006,13:00,149.75
4034,10/25/2006,13:15,160.75
4034,10/25/2006,13:30,166.5
4034,10/25/2006,13:45,160.75
4034,10/25/2006,14:00,162.25
4034,10/25/2006,14:15,156.25
4034,10/25/2006,14:30,161.0
4034,10/25/2006,14:45,177.5
4034,10/25/2006,15:00,195.0
4034,10/25/2006,15:15,181.25
4034,10/25/2006,15:30,181.0
4034,10/25/2006,15:45,187.25
4034,10/25/2006,16:00,191.75
4034,10/25/2006,16:15,195.25
4034,10/25/2006,16:30,194.0
4034,10/25/2006,16:45,202.5
4034,10/25/2006,17:00,197.75
4034,10/25/2006,17:15,222.0
4034,10/25/2006,17:30,232.75
4034,10/25/2006,17:45,206.5
